Chức năng,Diễn giải,Endpoint,Method,URL Parameter,Message Payload,Header Parameters,Chú thích,Ví dụ,Yêu cầu,Mẫu
Xem điểm danh,Xem danh sách điểm danh của giáo viên,/api/attendance,GET,,,Authorization,,,,
Xem điểm danh,Giáo viên dùng để xem lần điểm danh của họ,/api/attendance/my-attendance,GET,,,Authorization,,,,
Điểm danh,Dùng để điểm danh,/api/attendance/add,POST,"fileAlias
scheduleId",,"Authorization
 Content-Type: multipart/form-data","fileAlias: tên file, user có thể tự nhập hoặc hệ thống tự gen.
scheduleId: Id của lịch học","/api/attendance/add?fileAlias=A&scheduleId=1
/api/attendance/add?scheduleId=1","Chỉ được chấp nhận ảnh từ camera, không được chọn từ thư viện.
Nếu ScheduleId đã có điểm danh trước, khi update ảnh sẽ ghi đè lại thông tin.",
Điểm danh,Dùng để xóa file điểm danh để có thể điểm danh lại,/api/attendance/remove/{id},DELETE,id,,Authorization,id: Id của file điểm danh,/api/attendance/remove/1,,
Đăng nhập,Dùng để đăng nhập vào hệ thống,/api/auth/sign-in,POST,,"{
  ""user_name"": ""string"",
  ""password"": ""string""
}",Authorization,"user_name: tên đăng nhập, có thể là email/username
password: mật khẩu","{
  ""user_name"": ""tuyendht"",
  ""password"": ""MyPassword@123""
}","Đăng nhập thất bại quá 5 lần sẽ bị Block
Nếu tài khoản bị Block liên hệ quản trị viên để mở lại",
Đăng nhập,Dùng để đăng nhập vào hệ thống thông qua google,/api/auth/sign-in-google,POST,,"""string""",Authorization,JWT token được truyền từ FE,,"Tìm hiểu để truyền token ở
https://developers.google.com/identity/gsi/web/guides/overview?hl=vi hoặc
https://github.com/MomenSherif/react-oauth",
Đăng xuất,Dùng để đăng xuất trên 1 thiết bị,/api/auth/sign-out,POST,,,Authorization,Chỉ cần truyền token ở Header,,,
Đăng xuất,Dùng để đăng xuất trên toàn bộ thiết bị,/api/auth/sign-out-all-application,POST,,,Authorization,,,,
Quên mật khẩu,Dùng để cấp lại mật khẩu khi quên,/api/auth/reset-password,PUT,,"""string""",Authorization,Nhập username/ email của tài khoản,"""tuyendht""","Mật khẩu sẽ được gửi qua email.
Nếu trong thời hạn không đăng nhập lại hoặc đổi mk thì sẽ expire password và tk bị Block.
Nếu tài khoản bị Block liên hệ quản trị viên để mở lại",
Đổi mật khẩu,Dùng để đổi mật khẩu,/api/auth/update-password,PUT,,"{
  ""old_password"": ""string"",
  ""new_password"": ""string"",
  ""confirm_new_password"": ""string""
}",Authorization,"old_password: mk cũ.
new_password: mk mới.
confirm_new_password: nhập lại mk mới","{
  ""old_password"": ""MyPassword@123"",
  ""new_password"": ""MyNewPassword@123"",
  ""confirm_new_password"": ""MyNewPassword@123""
}",,
Xem lớp,Xem danh sách lớp,/api/class,GET,"search
filter
sort
page
limit",,Authorization,"search: tìm kiếm tương đối trên ClassCode, Grade, RoomName, RoomType
filter: tìm kiếm tuyệt đối trên các field response trả ra
sort: sort trên các field response trả ra, sort 1 field duy nhất, mặc định là ASC, DESC thì thêm dấu - ở trước field 
page: số trang
limit: giới hạn phần tử trả ra, mặc định 20, tối đa 100",/api/class?search=A&filter[room_code]=NONE&sort=class_code&page=1&limit=100,,
Xem lớp,Xem thông tin của 1 lớp,/api/class/{classCode},GET,classCode,,Authorization,truyền classCode,/api/class/10A01,,
Xem môn học của lớp,Xem danh sách môn học của 1 lớp,/api/class/class-subject/{classCode},GET,classCode,,Authorization,truyền classCode,/api/class/class-subject/10A01,,
Xem câú hình lịch học của lớp,Xem câú hình lịch học của 1 lớp,/api/class/class-schedule-config/{classCode},GET,classCode,,Authorization,truyền classCode,/class/class-schedule-config/10A01,,
Tạo lớp,Dùng để tạo lớp,/api/class/add,POST,,"{
  ""class_code"": ""string"",
  ""quantity"": 0,
  ""grade_level"": [
    ""string""
  ]
}",Authorization,"class_code: code của lớp, ví dụ A B C D, CLC.
quantity: số lượng lớp cần tạo
grade_level: gọi API /code-list/GRADELVL và truyền danh sách (có thể truyền 1) code_id","{
  ""class_code"": ""A"",
  ""quantity"": 5,
  ""grade_level"": [
    ""10"",""11"",""12""
  ]
}","Nếu trùng ClassCode và Grade như 10A thì hệ thống tự gen số đuôi ví dụ 10A01, 10A02",
Assign môn học cho lớp,Dùng để assign môn học cho lớp,/api/class/class-subject/add,POST,,"{
  ""class_code"": ""string"",
  ""force_assign"": true,
  ""subjects"": [
    {
      ""subject_code"": ""string"",
      ""teacher_user_name"": ""string"",
      ""weekly_slot"": 0,
      ""continuous_slot"": 0,
      ""fixed_slot"": [
        {
          ""day_of_week"": ""Sunday"",
          ""slot"": 0
        }
      ],
      ""avoid_slot"": [
        {
          ""day_of_week"": ""Sunday"",
          ""slot"": 0
        }
      ]
    }
  ]
}",Authorization,"class_code: class code.
force_assign: mặc định yêu cầu 1 lớp tối thiểu 1 môn đảm nhiệm bởi gvcn, true thì bỏ qua điều kiện.
subjects: danh sách môn học assign cho lớp.
subject_code: gọi API /api/subject/grade/{gradeLevel} để lấy danh sách môn cùng cấp với lớp học.
teacher_user_name: gọi API /api/subject/{subjectCode}?classCode={classCode} lấy available_teacher danh sách giáo viên có dạy môn đó. Có thể truyền hoặc không.
weekly_slot,continuous_slot,fixed_slot,avoid_slot: gọi API /api/subject/{subjectCode}?classCode={classCode} để lấy thông tin. Có thể setting riêng cho mỗi lớp. 
day_of_week: ngày trong tuần tiếng Anh
slot: gọi API /api/time-slot để lấy time_slot_code","{
  ""class_code"": ""10A01"",
  ""force_assign"": true,
  ""subjects"": [
    {
      ""subject_code"": ""10NVAN01"",
      ""teacher_user_name"": """",
      ""weekly_slot"": 4,
      ""continuous_slot"": 2,
      ""fixed_slot"": [],
      ""avoid_slot"": []
    }
  ]
}","Khi muốn thêm mới hoặc xóa thì phải truyền toàn bộ danh sách xuống.
Ví dụ trong DB đã có môn A B C D, truyền A E G thì sẽ cập nhật lại A, thêm E G và xóa B C D",
