No.,Domain,Func,User,Detail ,CRUD,Bussines Rules,Thắc mắc
1,HAST-Web,Sign In,Authenticated User,Đăng nhập,,,
2,HAST-Web,Sign Out,Authenticated User,Đăng xuất,,,
3,HAST-Web,Forgot Password,Authenticated User,Quên mật khẩu/ reset mật khẩu,U,,
4,HAST-Web,Get Notification,Authenticated User,Xem thông báo,C,,
5,HAST-Web,View Profile,Authenticated User,Xem thông tin tài khoản,R,,
6,HAST-Web,Update Profile,Authenticated User,Cập nhật thông tin tài khoản,U,,
7,HAST-Web,Change Password,Authenticated User,Đổi mật khẩu,U,,
8,HAST-Web,Search Account,Administrator,Tìm kiếm tài khoản,R,,
9,HAST-Web,View Account,Administrator,Xem thông tin tài khoản,R,,
10,HAST-Web,Create Account,Administrator,Tạo tài khoản,C,,
11,HAST-Web,Update Account Status,Administrator,Cập nhật status tài khoản,U,,
12,HAST-Web,Search Setting,Administrator,Tìm kiếm setting hệ thống,R,,
13,HAST-Web,View Setting,Administrator,Xem setting,R,,
14,HAST-Web,Update Setting,Administrator,Cập nhật setting,U,,
15,HAST-Web,View System Error,Administrator,Xem/tìm kiếm lỗi,R,,
16,HAST-Web,View Role,Administrator,Xem/tìm kiếm role,R,,
17,HAST-Web,Create Role,Administrator,Tạo role,C,,
18,HAST-Web,Update Role,Administrator,Cập nhật role,U,,
19,HAST-Web,Delete Role,Administrator,Xóa role,D,,
20,HAST-Web,Active Role,Administrator,Active role,U,,
21,HAST-Web,Assign Role to User,Administrator,Phân quyền cho user,U,,
22,HAST-Web,Search Command,Administrator,Tìm kiếm command,R,,
23,HAST-Web,View Command,Administrator,Xem command,R,,
24,HAST-Web,Create Command,Administrator,Tạo command,C,,
25,HAST-Web,Update Command,Administrator,Cập nhật commnand,U,,
26,HAST-Web,Delete Command,Administrator,Xóa command,D,,
27,HAST-Web,Active Command,Administrator,Active command,U,,
28,HAST-Web,Assign to Role,Administrator,Phân quyền chức năng cho role,C,,
29,HAST-Web,Search Code List,Administrator,Tìm kiếm code list,R,,
